Grid ID 2019,Accidental Fires,Agriculture,Aviation,Biomass,Commercial Cooking,Construction,Forestry,Gas Leakage,Heat and Power Generation,Industrial Processes,Machinery,Rail,Resuspension,River,Road Transport,Waste,nox,nox_hotspot
1,0.0,0.240798369353985,0.0,0.0,0.0,0.0,0.0,0.0,0.8200867553937239,0.000938866,0.0086399389363055,0.0,0.0,0.0,0.27021885617952257,0.0001407965173502,1.3408235823808872,0
2,0.0,0.383900421010819,0.0,0.0,0.0,0.0,0.0,0.0,0.6127556721264914,0.17949134,0.0009599954930224,0.0,0.0,0.0,44.488207271811724,0.0001640187127292,45.66547871915479,1
3,0.0,0.384228285151728,0.0,0.0,0.0,0.0,0.0,0.0,0.6882265922597264,0.148771178,0.0028799454772738,0.0,0.0,0.0,18.617165994072344,0.000450544257359,19.84172253921843,0
4,0.0,0.249758573550498,0.0,0.0,0.0,0.0,0.0,0.0,1.037451633330387,0.120266271,0.0143998982271758,3.996681171,0.0,0.0,0.312075271598957,0.0021774160926711,5.732810234799689,0
5,0.0,0.393380994070199,0.0,0.0,0.0,0.0,0.0,0.0,1.145997980622181,0.004622536,0.0143997273863694,2.5430373630000003,0.0,0.0,0.3246340292260018,0.0002513485544207,4.426323978859172,0
6,0.0,0.157522035915399,0.0,0.0,0.0,0.0,0.0,0.0,1.221597529584102,0.002595717,0.0355197444046122,0.0,0.0,0.0,0.7221459300222365,0.0006338863161581,2.1400148432425077,0
7,0.0,0.1211033877244,0.0,0.0,0.0,0.0,0.0,0.0,1.5084239854856465,0.044048234,0.0307197806067644,0.0,0.0,0.0,16.644226041400977,0.0034754578521836,18.35199688706997,0
8,0.0,0.456207192976645,0.0,0.0,0.0,0.0,0.0,0.0,1.6852357877415942,0.0,0.0,0.0,0.0,0.0,24.59565358754853,0.0,26.737096568266768,0
9,0.0,0.377079470215363,0.0,0.0,0.0,0.0,0.0,0.0,0.9467394534902207,0.018387106,0.0076798546060636,0.39229617699999997,0.0,0.0,26.645558496200447,0.0001202482204152,28.387860805732508,1
10,0.0,0.204047285658864,0.0,0.0,0.0,0.0,0.0,0.0,1.225143443024647,0.0,0.0412797036954825,0.0,0.0,0.0,28.379483677951132,0.0006463419407578,29.850600452270886,1
11,0.0,0.436192008028478,0.0,0.0,0.0,0.0,0.0,0.0,1.111365482472036,0.0,0.0009599954930224,0.0,0.0,0.0,24.847503408976767,1.50312079246017e-05,26.39603592617823,0
12,0.0,0.442150968732088,0.0,0.0,0.0,0.0,0.0,0.0,0.979387247989826,0.0,0.0028799796454351,0.0,0.0,0.0,22.286410956542255,4.50936237738052e-05,23.71087424653338,0
13,0.0,0.120437088780278,0.0,0.0,0.0,0.0,0.0,0.0,1.4972688476630605,0.008821535,0.0662387323100348,0.0,0.0,0.0,16.238675359141613,0.0042836191433961,17.935725182038382,0
14,0.0,0.102657933358936,0.0,0.0,0.0,0.0,0.0,0.0,1.060562759318068,0.012328226,0.0460796674933304,0.006912265,0.0,0.0,24.02296088025012,0.0019753301845054,25.25347706160496,0
15,0.0,0.251569874140522,0.0,0.0,0.0,0.0,0.0,0.0,0.7037772765143306,0.000618997,0.0038399751384576,0.002251039,0.0,0.0,22.336100992408088,6.31808789175935e-05,23.298221335080317,0
16,0.0,0.162002131533106,0.0,0.0,0.0,0.0,0.0,0.0,0.6397234239335363,0.79564344,0.0115199185817407,6.533926988,0.0,0.0,25.11873116205641,0.003296933893892,33.26484399799868,1
17,0.0,0.324167156227408,0.0,0.0,0.0,0.0,0.0,0.0,0.6921053009258694,0.0,0.0009599818257579,0.0,0.0,0.0,22.464884063240675,1.50310275519104e-05,23.482131533247262,0
18,0.0,0.238462009830424,0.0,0.0,0.0,0.0,0.0,0.0,1.069543437970062,0.06240423,0.017279877872611,0.0,0.0,0.0,23.837074635151474,0.0008606961747777,25.22562488699935,0
19,0.0,0.254571117633426,0.0,0.0,0.0,0.0,0.0,0.0,1.6661122123977519,0.0,0.0038399751384576,0.0,0.0,0.0,14.597423074338709,6.0124831698407e-05,16.522006504340045,0
20,0.0,0.381891961326917,0.0,0.0,0.0,0.0,0.0,0.0,1.6914797514439317,0.0,0.0047999091287898,0.0,0.0,0.0,3.033071583324534,7.51551377595519e-05,5.111318360361932,0
21,0.0,0.348671722026329,0.0,0.0,0.0,0.0,0.0,0.0,1.6805490172434085,0.0,0.0038399751384576,0.0,0.0,0.0,32.600946834743866,6.0124831698407e-05,34.63406767398376,1
22,0.0,0.265199115121164,0.0,0.0,0.0,0.0,0.0,0.0,0.71971494300083,0.0,0.0038399204693995,0.0,0.0,0.05069,23.533850563289725,6.01239899591806e-05,24.573354665871076,0
23,0.0,0.0712429493892155,0.0,0.0,0.0,0.0,0.0,0.0,1.894621087933517,0.028269643,0.0729578738916891,3.613705126,0.0,0.01739,9.934476858708642,0.0049912592378378,15.6376547981609,0
24,0.0,0.0793460836143182,0.0,0.0,0.0,0.0,0.0,0.0,2.406403253432462,0.128448626,0.065278620645264,0.0,0.0,0.0,2.0638825123551032,0.0067114626462208,4.750070558693368,0
25,0.0,0.10766162002949,0.0,0.0,0.0,0.0,0.0,0.0,3.205454063362094,0.106197073,0.0681585592889056,0.0,0.0,0.0,3.2759993616514445,0.0049127416974401,6.768383419029374,0
26,0.0,0.262390507507487,0.0,0.0,0.0,0.0,0.0,0.0,2.2643570324630833,0.019362801,0.023999490974891,0.0,0.0,0.0,9.80018125510165,0.0009556574884573,12.371246744535568,0
27,0.0,0.0649516803810655,0.0,0.0,0.0,0.0,0.0,0.0,1.1391337984539986,0.123501509,0.040318826663899,0.003346309,0.0,0.0,15.931014894651137,0.0027942755217301,17.30506129367183,0
28,0.0,0.17177393622355,0.0,0.0,0.0,0.0,0.0,0.0,0.873704581656533,0.000632201,0.0086398159309248,0.005800331,0.0,0.0,0.43700646502682,0.0001352789774081,1.4976926098152359,0
29,0.0,0.216005748730661,0.0,0.0,0.0,0.0,0.0,0.0,1.0368145709261987,0.0,0.0067198591130412,0.0,0.0,0.0,0.3942816382452912,0.0001052169824285,1.6539270339976206,0
30,0.0,0.317350139997597,0.0,0.0,0.0,0.0,0.0,0.0,1.494610786957839,0.0,0.0095997977566828,6.607751543,0.0,0.0,2.6823697401442086,0.0022382592080168,11.113920267064344,0
31,0.0,0.254093312363451,0.0,0.0,0.0,0.0,0.0,0.0,0.7469394847547821,0.022170972,0.0143995770464598,0.0,0.0,0.0,2.3024000734222407,0.0007552518642069,3.3407586714511406,0
