Grid ID 2019,Easting,Northing,Zone,Borough,co2_Accidental Fires,co2_Agriculture,co2_Aviation,co2_Biomass,co2_Commercial Cooking,co2_Construction,co2_Forestry,co2_Gas Leakage,co2_Heat and Power Generation,co2_Industrial Processes,co2_Machinery,co2_Rail,co2_Resuspension,co2_River,co2_Road Transport,co2_Waste,nox,pm10,pm2.5,nox_hotspot
11,510500,202500,Non GLA,Non GLA,0.0,9.49247272324429,0.0,0.0,0.0,0.0,0.0,0.00531,1042.5886471688677,0.0,0.117675328444377,0.0,0.0,0.0,13958.989205301872,0.0,26.39603592617823,5.7057120206991,1.2053400477029423,0
12,511500,202500,Non GLA,Non GLA,0.0,9.28384704753737,0.0,0.0,0.0,0.0,0.0,0.00564,830.0035203959566,0.0,0.353025147673033,0.0,0.0,0.0,9144.034562635532,0.0,23.71087424653338,3.2511641413160857,1.019517555278546,0
13,512500,202500,Non GLA,Non GLA,0.0,2.71210243413237,0.0,0.0,0.0,0.0,0.0,0.24569,3795.1651874327913,0.3580611,8.11948039024811,0.0,0.0,0.0,7712.040868985773,0.0,17.935725182038382,4.220669048941154,1.3533830796239643,0
14,513500,202500,Non GLA,Non GLA,0.0,2.60782243919632,0.0,0.0,0.0,0.0,0.0,0.10989,2105.646782519319,0.500395701,5.64840152510843,1.531381991,0.0,0.0,13731.278318583962,0.0,25.25347706160496,5.773702214432368,1.3083012193387695,0
15,514500,202500,Non GLA,Non GLA,0.0,8.24071866900279,0.0,0.0,0.0,0.0,0.0,0.01401,779.7430326146017,0.025124728,0.47070047611741,0.498707803,0.0,0.0,12767.1081028562,0.0,23.298221335080317,5.199779059256922,1.0875607809829921,0
16,515500,202500,Non GLA,Non GLA,0.0,5.84152190551339,0.0,0.0,0.0,0.0,0.0,0.10672,523.3240568446872,32.29471686,1.41210059069213,852.28813462,0.0,0.0,14008.422841405489,0.0,33.26484399799868,6.428106627362471,1.7576381755416213,1
17,516500,202500,Non GLA,Non GLA,0.0,7.82337326741637,0.0,0.0,0.0,0.0,0.0,7e-05,648.3621709511751,0.0,0.117673653124178,0.0,0.0,0.0,12780.003386933422,0.0,23.482131533247262,5.151413018658812,1.0393695387687643,0
18,517500,202500,Non GLA,Non GLA,0.0,7.30190238189173,0.0,0.0,0.0,0.0,0.0,0.03223,794.4448680876293,2.532952381,2.1181508860382,0.0,0.0,0.0,13444.601566558233,0.0,25.22562488699935,5.603940749867604,1.2397520531372284,0
19,518500,202500,Non GLA,Non GLA,0.0,9.70109914538114,0.0,0.0,0.0,0.0,0.0,0.00412,732.6660162253972,0.0,0.47070047611741,0.0,0.0,0.0,7869.897976121249,0.0,16.522006504340045,3.6143807036877327,0.9041084691982584,0
20,519500,202500,Non GLA,Non GLA,0.0,9.49235926589322,0.0,0.0,0.0,0.0,0.0,0.00264,650.4149746844862,0.0,0.588368265620892,0.0,0.0,0.0,1601.3835677661918,0.0,5.111318360361932,0.8040176151541406,0.29217086345605664,0
21,520500,202500,Non GLA,Non GLA,0.0,8.86659569612354,0.0,0.0,0.0,0.0,0.0,0.0076,633.9850430742526,0.0,0.47070047611741,0.0,0.0,0.0,17398.677834433136,0.0,34.63406767398376,6.856546610788457,1.4707853704779164,1
22,507500,201500,Non GLA,Non GLA,0.0,8.65784909876615,0.0,0.0,0.0,0.0,0.0,0.00148,1034.666843653939,0.0,0.470693774836614,0.0,0.0,4.18267,13040.54273778002,0.0,24.573354665871076,6.400588194219771,1.6171412458041319,0
23,508500,201500,Non GLA,Non GLA,0.0,2.08621197127268,0.0,0.0,0.0,0.0,0.0,0.23181,4231.568345050791,1.147448821,8.94310633248671,652.138268,0.0,1.43504,5161.927501421128,0.0,15.6376547981609,2.958442779091267,1.2025579341833836,0
24,509500,201500,Non GLA,Non GLA,0.0,2.92071989910993,0.0,0.0,0.0,0.0,0.0,0.25518,5074.63421122263,5.213657021,8.00179082158204,0.0,0.0,0.0,765.2483383112024,0.0,4.750070558693368,1.102874976354449,0.8604898079779838,0
25,510500,201500,Non GLA,Non GLA,0.0,2.71209720912278,0.0,0.0,0.0,0.0,0.0,0.22952,5598.254597135204,4.310479073,8.35481094329447,0.0,0.0,0.0,1203.648010133843,0.0,6.768383419029374,1.2955794211740221,0.9198507262869292,0
26,511500,201500,Non GLA,Non GLA,0.0,5.73712845322628,0.0,0.0,0.0,0.0,0.0,0.09587,2525.577419840217,0.785925132,2.94183462682366,0.0,0.0,0.0,4039.755903137622,0.0,12.371246744535568,2.105207941723238,0.813333535709338,0
27,512500,201500,Non GLA,Non GLA,0.0,1.35603778132724,0.0,0.0,0.0,0.0,0.0,0.09474,1612.7634452493205,5.012856324,4.94224317160952,0.741360053,0.0,0.0,6739.215593588708,0.0,17.30506129367183,2.240942469376972,0.7904072787498866,0
28,513500,201500,Non GLA,Non GLA,0.0,4.38108022187986,0.0,0.0,0.0,0.0,0.0,0.03502,1069.6809435488115,0.025660689,1.05906036513731,1.28503783,0.0,0.0,155.46864518348272,0.0,1.4976926098152359,0.20729758548917948,0.15141100540764418,0
29,514500,201500,Non GLA,Non GLA,0.0,8.03198028237476,0.0,0.0,0.0,0.0,0.0,0.00737,684.9391211461859,0.0,0.82371389654905,0.0,0.0,0.0,124.06828670744294,0.0,1.6539270339976206,0.19163494855409183,0.14253893892964867,0
30,515500,201500,Non GLA,Non GLA,0.0,7.61473415597052,0.0,0.0,0.0,0.0,0.0,0.03953,1117.47216299237,0.0,1.17673401826149,860.76509597,0.0,0.0,1118.4617772638994,0.0,11.113920267064344,1.2741712429971555,0.739323652458939,0
31,516500,201500,Non GLA,Non GLA,0.0,6.36294651238167,0.0,0.0,0.0,0.0,0.0,0.00942,563.7643776177177,0.8999072,1.76508636834049,0.0,0.0,0.0,894.3496638467059,0.0,3.3407586714511406,0.6448970976602598,0.28952553902672307,0
32,517500,201500,Non GLA,Non GLA,0.0,7.71904550096409,0.0,0.0,0.0,0.0,0.0,0.00122,974.920993053717,0.0,2.47114085198705,0.0,0.0,0.0,199.22606702922297,0.0,2.3048028121788593,0.26865284865150485,0.18676157370138188,0
33,518500,201500,Non GLA,Non GLA,0.0,5.52850576323913,0.0,0.0,0.0,0.0,0.0,0.13496,1824.9803581767792,1.822846825,3.17718193307202,0.0,0.0,0.0,698.9485564777973,0.0,4.031490019022574,0.652427506334525,0.3457823144133521,0
34,519500,201500,Non GLA,Non GLA,0.0,8.34484788509072,0.0,0.0,0.0,0.0,0.0,0.00271,730.626940377345,0.0,0.353017608732137,0.0,0.0,0.0,102.00993107741188,0.0,2.213231664689715,0.24394361596463524,0.18555637729203273,0
35,520500,201500,Non GLA,Non GLA,0.0,9.2837171687276,0.0,0.0,0.0,0.0,0.0,0.00283,639.5221133050912,0.0,0.470693774836614,0.0,0.0,0.0,192.85840148001554,0.0,2.438482088050642,0.2817742712062538,0.19693277473389775,0
36,521500,201500,Non GLA,Non GLA,0.0,10.3268313650933,0.0,0.0,0.0,0.0,0.0,0.00085,860.974936033487,0.0,0.235346468588257,0.0,0.0,0.0,15907.251265888743,0.0,31.412993012368364,6.273796589986273,1.3254561435419223,1
37,543500,201500,Non GLA,Non GLA,0.0,8.97078313374687,0.0,0.0,0.0,0.0,0.0,0.00482,1149.9423100046447,0.0,0.588366590300693,0.0,0.0,0.0,96.91021061805738,0.0,2.0896416176015893,0.12055675443508003,0.082545341460778,0
38,544500,201500,Non GLA,Non GLA,0.0,7.82335759238761,0.0,0.0,0.0,0.0,0.0,0.00939,1371.9637661193108,1.934739293,1.52975413997392,0.0,0.0,0.0,10114.417195570784,0.0,21.97869121579282,3.978169204913982,0.9302889031468069,0
39,545500,201500,Non GLA,Non GLA,0.0,2.29483316839995,0.0,0.0,0.0,0.0,0.0,0.19108,5252.549620601101,0.774611456,7.64870955068234,0.0,0.0,0.0,1362.5791657736654,0.0,5.110000242168447,1.291029157417727,0.8768767420124958,0
40,507500,200500,Non GLA,Non GLA,0.0,7.40621521974519,0.0,0.0,0.0,0.0,0.0,0.00181,440.736733723836,0.0,0.823725623790443,0.0,0.0,0.0,13335.230053823005,0.0,25.92521936809847,5.712233359518832,1.4014282439816057,0
41,508500,200500,Non GLA,Non GLA,0.0,4.90264739686691,0.0,0.0,0.0,0.0,0.0,0.16755,2409.48123039061,0.429103295,5.53066085917628,735.4173137,0.0,5.24781,2398.661379150911,0.0,11.249659395873053,1.8424227529460577,0.9176876767298925,0
