Grid ID 2019,Easting,Northing,Borough,Zone,share_Accidental Fires,share_Agriculture,share_Aviation,share_Biomass,share_Commercial Cooking,share_Construction,share_Forestry,share_Gas Leakage,share_Heat and Power Generation,share_Industrial Processes,share_Machinery,share_Rail,share_Resuspension,share_River,share_Road Transport,share_Waste,nox,pm10,pm2.5,co2,cluster,cluster_name
1,510500,203500,Non GLA,Non GLA,0.0,0.17958989722302,0.0,0.0,0.0,0.0,0.0,0.0,0.6116291256881863,0.0007002159063557,0.0064437552037708,0.0,0.0,0.0,0.2015319984898368,0.0001050074888302,1.3408235823808872,0.1626532137312242,0.1215331109588346,1212.8838592655686,1,Heat and Power Generation-dominated
2,511500,203500,Non GLA,Non GLA,0.0,0.0084067972520736,0.0,0.0,0.0,0.0,0.0,0.0,0.0134183564765623,0.0039305695469411,2.1022345981007346e-05,0.0,0.0,0.0,0.9742196626343644,3.5917440773570803e-06,45.66547871915479,9.893811883040936,2.3497477510830542,23432.691922073096,2,Road Transport-dominated
3,512500,203500,Non GLA,Non GLA,0.0,0.0193646637479319,0.0,0.0,0.0,0.0,0.0,0.0,0.0346858288588303,0.0074978962993734,0.0001451459404082,0.0,0.0,0.0,0.9382837582409655,2.270691249050936e-05,19.84172253921843,4.926729502805884,1.1250896291225752,11388.566615407304,2,Road Transport-dominated
4,515500,203500,Non GLA,Non GLA,0.0,0.043566516825273,0.0,0.0,0.0,0.0,0.0,0.0,0.1809673774011877,0.0209785892213824,0.0025118393313918,0.6971591605699903,0.0,0.0,0.0544367001204011,0.0003798165303734,5.732810234799689,0.4856761830616459,0.3700986940984928,2682.887565083593,1,Heat and Power Generation-dominated
5,516500,203500,Non GLA,Non GLA,0.0,0.0888730684760196,0.0,0.0,0.0,0.0,0.0,0.0,0.2589051289728564,0.0010443284364357,0.0032532023085397,0.5745258085820089,0.0,0.0,0.0733416782812342,5.6784942905485614e-05,4.426323978859172,0.3555026089027707,0.2701663273911415,2353.626903904877,1,Heat and Power Generation-dominated
6,517500,203500,Non GLA,Non GLA,0.0,0.0736079174463691,0.0,0.0,0.0,0.0,0.0,0.0,0.5708360077228071,0.0012129434560682,0.0165978962794451,0.0,0.0,0.0,0.3374490285908743,0.000296206504436,2.140014843242508,0.3293370215716878,0.2414751682702318,2324.6147006361603,1,Heat and Power Generation-dominated
7,518500,203500,Non GLA,Non GLA,0.0,0.0065989215489527,0.0,0.0,0.0,0.0,0.0,0.0,0.0821939974580323,0.0024001875256983,0.0016739203257171,0.0,0.0,0.0,0.9069435955020124,0.0001893776395871,18.35199688706997,4.389074752001415,1.12543954535715,11849.10724915603,2,Road Transport-dominated
8,519500,203500,Non GLA,Non GLA,0.0,0.0170627050626768,0.0,0.0,0.0,0.0,0.0,0.0,0.0630298725008808,0.0,0.0,0.0,0.0,0.0,0.9199074224364424,0.0,26.737096568266768,5.656893217096815,1.3282413611237769,14185.274859498975,2,Road Transport-dominated
9,508500,202500,Non GLA,Non GLA,0.0,0.0132831238252097,0.0,0.0,0.0,0.0,0.0,0.0,0.0333501513188708,0.0006477101647718,0.0002705330513848,0.0138191524780472,0.0,0.0,0.938625093258868,4.235902847280329e-06,28.387860805732508,6.17295628024127,1.3392621328083825,16481.419567364264,2,Road Transport-dominated
10,509500,202500,Non GLA,Non GLA,0.0,0.0068356174605305,0.0,0.0,0.0,0.0,0.0,0.0,0.0410425058277661,0.0,0.001382876828943,0.0,0.0,0.0,0.9507173473219754,2.1652560784874584e-05,29.85060045227089,6.971323184590078,1.946760646597639,17638.464346848967,2,Road Transport-dominated
11,510500,202500,Non GLA,Non GLA,0.0,0.0165249058323899,0.0,0.0,0.0,0.0,0.0,0.0,0.0421034993883244,0.0,3.636892659591836e-05,0.0,0.0,0.0,0.9413346564032478,5.694494418267753e-07,26.39603592617823,5.7057120206991,1.2053400477029423,15011.193310522429,2,Road Transport-dominated
12,511500,202500,Non GLA,Non GLA,0.0,0.0186476029578172,0.0,0.0,0.0,0.0,0.0,0.0,0.0413054043392354,0.0,0.0001214623980326,0.0,0.0,0.0,0.9399236284929736,1.9018119410083775e-06,23.71087424653338,3.2511641413160857,1.019517555278546,9983.6805952267,2,Road Transport-dominated
13,512500,202500,Non GLA,Non GLA,0.0,0.0067149271946299,0.0,0.0,0.0,0.0,0.0,0.0,0.0834796938772506,0.0004918415570302,0.0036931170408637,0.0,0.0,0.0,0.9053815886632636,0.0002388316669618,17.935725182038382,4.220669048941154,1.3533830796239643,11518.641390342944,2,Road Transport-dominated
14,513500,202500,Non GLA,Non GLA,0.0,0.0040651009406944,0.0,0.0,0.0,0.0,0.0,0.0,0.0419967023444281,0.0004881793493199,0.0018246860573267,0.0002737153772186,0.0,0.0,0.9512733958039504,7.822012706157858e-05,25.25347706160496,5.773702214432368,1.3083012193387695,15847.322992759586,2,Road Transport-dominated
15,514500,202500,Non GLA,Non GLA,0.0,0.0107978145851731,0.0,0.0,0.0,0.0,0.0,0.0,0.0302073392810741,2.656842301811132e-05,0.0001648183817652,9.661849149877345e-05,0.0,0.0,0.9587041290047512,2.711832719284092e-06,23.29822133508032,5.199779059256922,1.087560780982992,13556.100397146924,2,Road Transport-dominated
16,515500,202500,Non GLA,Non GLA,0.0,0.004870070382499,0.0,0.0,0.0,0.0,0.0,0.0,0.0192312167155217,0.0239184479580865,0.000346309111879,0.1964213927590672,0.0,0.0,0.755113451413379,9.911165956739057e-05,33.26484399799868,6.428106627362471,1.7576381755416213,15423.69009222638,2,Road Transport-dominated
17,516500,202500,Non GLA,Non GLA,0.0,0.0138048437284509,0.0,0.0,0.0,0.0,0.0,0.0,0.0294737000321265,0.0,4.0881375031849485e-05,0.0,0.0,0.0,0.9566799347594866,6.401049040470906e-07,23.482131533247266,5.151413018658812,1.0393695387687645,13436.306674805135,2,Road Transport-dominated
18,517500,202500,Non GLA,Non GLA,0.0,0.0094531656162587,0.0,0.0,0.0,0.0,0.0,0.0,0.0423990859596615,0.0024738427800915,0.0006850128767877,0.0,0.0,0.0,0.9449547728522872,3.411991491323892e-05,25.22562488699935,5.603940749867604,1.2397520531372284,14251.031670294791,2,Road Transport-dominated
19,518500,202500,Non GLA,Non GLA,0.0,0.0154080025066298,0.0,0.0,0.0,0.0,0.0,0.0,0.1008420019662922,0.0,0.0002324157866327,0.0,0.0,0.0,0.8835139406647868,3.6390756584324823e-06,16.522006504340045,3.6143807036877327,0.9041084691982584,8612.739911968145,2,Road Transport-dominated
20,519500,202500,Non GLA,Non GLA,0.0,0.0747149628339478,0.0,0.0,0.0,0.0,0.0,0.0,0.3309282717666911,0.0,0.000939074577317,0.0,0.0,0.0,0.5934029871521762,1.4703669867714944e-05,5.111318360361932,0.8040176151541406,0.2921708634560566,2261.881909982192,2,Road Transport-dominated
21,520500,202500,Non GLA,Non GLA,0.0,0.0100673049815699,0.0,0.0,0.0,0.0,0.0,0.0,0.048523004374268,0.0,0.0001108727734381,0.0,0.0,0.0,0.9412970818681192,1.7360026048448032e-06,34.63406767398376,6.856546610788457,1.4707853704779164,18042.007773679627,2,Road Transport-dominated
22,507500,201500,Non GLA,Non GLA,0.0,0.0107921412736327,0.0,0.0,0.0,0.0,0.0,0.0,0.0292884285758676,0.0,0.0001562635839351,0.0,0.0,0.002062803418143,0.9576979164336452,2.4467147760938127e-06,24.57335466587108,6.400588194219771,1.617141245804132,14088.522274307565,2,Road Transport-dominated
23,508500,201500,Non GLA,Non GLA,0.0,0.0045558589384895,0.0,0.0,0.0,0.0,0.0,0.0,0.1211576232106324,0.0018077930076397,0.0046655252870954,0.2310899666633514,0.0,0.0011120593352684,0.6352919914741312,0.0003191820833917,15.6376547981609,2.958442779091267,1.2025579341833836,10059.477731596678,2,Road Transport-dominated
24,509500,201500,Non GLA,Non GLA,0.0,0.0167041905238865,0.0,0.0,0.0,0.0,0.0,0.0,0.5066036859238585,0.027041414314345,0.0137426633643986,0.0,0.0,0.0,0.4344951273571878,0.0014129185163234,4.750070558693368,1.102874976354449,0.8604898079779838,5856.273897275524,1,Heat and Power Generation-dominated
25,510500,201500,Non GLA,Non GLA,0.0,0.0159065486341684,0.0,0.0,0.0,0.0,0.0,0.0,0.4735922693667042,0.0156901680099011,0.0100701386238369,0.0,0.0,0.0,0.4840150385749338,0.0007258367904554,6.768383419029374,1.295579421174022,0.9198507262869292,6817.509514494464,1,Heat and Power Generation-dominated
26,511500,201500,Non GLA,Non GLA,0.0,0.0212097060971955,0.0,0.0,0.0,0.0,0.0,0.0,0.1830338590137052,0.0015651454861291,0.0019399411773507,0.0,0.0,0.0,0.792174099949177,7.724827644226059e-05,12.371246744535568,2.105207941723238,0.813333535709338,6574.894081189889,2,Road Transport-dominated
27,512500,201500,Non GLA,Non GLA,0.0,0.0037533343152512,0.0,0.0,0.0,0.0,0.0,0.0,0.0658266260444024,0.0071367276257589,0.0023298863829302,0.00019337169301,0.0,0.0,0.9205985823625392,0.0001614715761077,17.30506129367183,2.240942469376972,0.7904072787498866,8364.126276167965,2,Road Transport-dominated
28,513500,201500,Non GLA,Non GLA,0.0,0.1146923842034187,0.0,0.0,0.0,0.0,0.0,0.0,0.583367091438288,0.0004221166585565,0.0057687511271025,0.0038728447760155,0.0,0.0,0.2917864868684447,9.032492817387196e-05,1.497692609815236,0.2072975854891794,0.1514110054076441,1231.9354478383111,1,Heat and Power Generation-dominated
29,514500,201500,Non GLA,Non GLA,0.0,0.1306017401557097,0.0,0.0,0.0,0.0,0.0,0.0,0.6268804787718889,0.0,0.0040629719297827,0.0,0.0,0.0,0.2383911926829647,6.361645965371613e-05,1.6539270339976206,0.1916349485540918,0.1425389389296486,817.8704720325528,1,Heat and Power Generation-dominated
30,515500,201500,Non GLA,Non GLA,0.0,0.0285542933880901,0.0,0.0,0.0,0.0,0.0,0.0,0.1344809708044296,0.0,0.0008637634179481,0.5945473230163263,0.0,0.0,0.2413522569613265,0.0002013924118791,11.113920267064344,1.2741712429971557,0.739323652458939,3105.5300344005013,1,Heat and Power Generation-dominated
31,516500,201500,Non GLA,Non GLA,0.0,0.0760585655392699,0.0,0.0,0.0,0.0,0.0,0.0,0.2235837898552338,0.0066365081050195,0.0043102715468534,0.0,0.0,0.0,0.6891847929925858,0.0002260719610371,3.3407586714511406,0.6448970976602598,0.289525539026723,1467.1514015451455,2,Road Transport-dominated
32,517500,201500,Non GLA,Non GLA,0.0,0.1481767010209423,0.0,0.0,0.0,0.0,0.0,0.0,0.5735834321654845,0.0,0.0087467658399954,0.0,0.0,0.0,0.2693561474148536,0.0001369535587242,2.3048028121788597,0.2686528486515048,0.1867615737013818,1184.338466435891,1,Heat and Power Generation-dominated
33,518500,201500,Non GLA,Non GLA,0.0,0.0578489552717627,0.0,0.0,0.0,0.0,0.0,0.0,0.4910268811776522,0.0111396512922257,0.0064292493604364,0.0,0.0,0.0,0.432551813480855,0.0010034494170677,4.031490019022574,0.652427506334525,0.3457823144133521,2534.5924091758875,1,Heat and Power Generation-dominated
34,519500,201500,Non GLA,Non GLA,0.0,0.108710054271062,0.0,0.0,0.0,0.0,0.0,0.0,0.7726435460356113,0.0,0.0013012276069837,0.0,0.0,0.0,0.1173247979734818,2.037411286103413e-05,2.213231664689715,0.2439436159646352,0.1855563772920327,841.3374469485798,1,Heat and Power Generation-dominated
35,520500,201500,Non GLA,Non GLA,0.0,0.1145222982495548,0.0,0.0,0.0,0.0,0.0,0.0,0.6907802749459041,0.0,0.0015747175212876,0.0,0.0,0.0,0.1930980529651881,2.465631806516348e-05,2.438482088050642,0.2817742712062538,0.1969327747338977,842.137755728671,1,Heat and Power Generation-dominated
36,521500,201500,Non GLA,Non GLA,0.0,0.0155668664181921,0.0,0.0,0.0,0.0,0.0,0.0,0.0552490582570311,0.0,6.111983080146638e-05,0.0,0.0,0.0,0.9291219985015942,9.569923810747315e-07,31.412993012368364,6.273796589986273,1.3254561435419223,16778.789229755912,2,Road Transport-dominated
37,543500,201500,Non GLA,Non GLA,0.0,0.1172844525018277,0.0,0.0,0.0,0.0,0.0,0.0,0.7706828662291539,0.0,0.0022969945760528,0.0,0.0,0.0,0.1096997212016506,3.596549131483886e-05,2.0896416176015893,0.12055675443508,0.082545341460778,1256.4164903467497,1,Heat and Power Generation-dominated
38,544500,201500,Non GLA,Non GLA,0.0,0.0124241049971287,0.0,0.0,0.0,0.0,0.0,0.0,0.0746381720193516,0.002168740692155,0.0005678107161975,0.0,0.0,0.0,0.9101922810108724,8.89056429469708e-06,21.97869121579282,3.978169204913982,0.9302889031468068,11497.678202715457,2,Road Transport-dominated
39,545500,201500,Non GLA,Non GLA,0.0,0.0152757835077586,0.0,0.0,0.0,0.0,0.0,0.0,0.3716044351636739,0.003734650703637,0.0122109941662133,0.0,0.0,0.0,0.5968643501198936,0.0003097863388235,5.110000242168447,1.291029157417727,0.8768767420124958,6626.038020549849,2,Road Transport-dominated
