Grid ID 2019,Easting,Northing,Borough,Zone,share_Accidental Fires,share_Agriculture,share_Aviation,share_Biomass,share_Commercial Cooking,share_Construction,share_Forestry,share_Gas Leakage,share_Heat and Power Generation,share_Industrial Processes,share_Machinery,share_Rail,share_Resuspension,share_River,share_Road Transport,share_Waste,nox,pm10,pm2.5,co2
1,510500,203500,Non GLA,Non GLA,0.0,0.17958989722302,0.0,0.0,0.0,0.0,0.0,0.0,0.6116291256881863,0.0007002159063557526,0.006443755203770839,0.0,0.0,0.0,0.20153199848983683,0.00010500748883025239,1.3408235823808872,0.16265321373122427,0.1215331109588346,1212.8838592655686
2,511500,203500,Non GLA,Non GLA,0.0,0.008406797252073666,0.0,0.0,0.0,0.0,0.0,0.0,0.013418356476562362,0.003930569546941172,2.1022345981007342e-05,0.0,0.0,0.0,0.9742196626343643,3.5917440773570803e-06,45.66547871915479,9.893811883040936,2.3497477510830542,23432.691922073096
3,512500,203500,Non GLA,Non GLA,0.0,0.01936466374793198,0.0,0.0,0.0,0.0,0.0,0.0,0.03468582885883031,0.007497896299373418,0.0001451459404082183,0.0,0.0,0.0,0.9382837582409657,2.2706912490509357e-05,19.84172253921843,4.926729502805884,1.1250896291225752,11388.566615407304
4,515500,203500,Non GLA,Non GLA,0.0,0.043566516825273016,0.0,0.0,0.0,0.0,0.0,0.0,0.18096737740118773,0.020978589221382495,0.002511839331391884,0.6971591605699903,0.0,0.0,0.05443670012040112,0.0003798165303734638,5.732810234799689,0.4856761830616459,0.3700986940984928,2682.887565083593
5,516500,203500,Non GLA,Non GLA,0.0,0.08887306847601967,0.0,0.0,0.0,0.0,0.0,0.0,0.25890512897285645,0.001044328436435735,0.003253202308539725,0.5745258085820089,0.0,0.0,0.0733416782812342,5.6784942905485614e-05,4.426323978859172,0.35550260890277074,0.2701663273911415,2353.6269039048775
6,517500,203500,Non GLA,Non GLA,0.0,0.0736079174463691,0.0,0.0,0.0,0.0,0.0,0.0,0.5708360077228071,0.0012129434560682866,0.01659789627944514,0.0,0.0,0.0,0.33744902859087433,0.00029620650443603843,2.1400148432425077,0.32933702157168787,0.2414751682702318,2324.6147006361603
7,518500,203500,Non GLA,Non GLA,0.0,0.006598921548952761,0.0,0.0,0.0,0.0,0.0,0.0,0.08219399745803234,0.002400187525698334,0.0016739203257171563,0.0,0.0,0.0,0.9069435955020124,0.00018937763958712628,18.35199688706997,4.389074752001415,1.12543954535715,11849.10724915603
8,519500,203500,Non GLA,Non GLA,0.0,0.017062705062676844,0.0,0.0,0.0,0.0,0.0,0.0,0.06302987250088088,0.0,0.0,0.0,0.0,0.0,0.9199074224364423,0.0,26.737096568266768,5.6568932170968145,1.3282413611237769,14185.274859498975
9,508500,202500,Non GLA,Non GLA,0.0,0.01328312382520973,0.0,0.0,0.0,0.0,0.0,0.0,0.0333501513188708,0.0006477101647718026,0.000270533051384864,0.01381915247804729,0.0,0.0,0.9386250932588681,4.235902847280329e-06,28.387860805732508,6.17295628024127,1.3392621328083825,16481.419567364264
10,509500,202500,Non GLA,Non GLA,0.0,0.006835617460530552,0.0,0.0,0.0,0.0,0.0,0.0,0.04104250582776617,0.0,0.0013828768289430556,0.0,0.0,0.0,0.9507173473219754,2.1652560784874584e-05,29.850600452270886,6.971323184590078,1.946760646597639,17638.464346848967
