TOID,nox,pm10,pm25,co2
osgb4000000027865913,17.8082976691058,0.880113164505496,0.599888860228159,7904.89514094679
osgb4000000027865914,20.8607059332186,0.9418257026278929,0.6525828481125291,8702.67396870348
osgb4000000027865915,26.3215123039261,1.666054710320609,1.033422698497503,15337.8148062622
osgb4000000027865916,29.7319632854533,1.5871324496388168,1.036891524875111,16930.3556909162
osgb4000000027865917,18.7254083281507,0.9724696490935489,0.6340794228989259,10109.4478598572
osgb4000000027865918,18.7923309292233,1.189170168110074,0.735595160140037,10799.564636835
osgb4000000027865921,35.6767251976052,1.8347854791335227,1.203218617930304,19668.3484472315
osgb4000000027865922,35.1157191680714,2.10838923960556,1.327165366453149,20228.2137539226
osgb4000000027866313,1.86287606952715,0.2803216738934217,0.1399059739076576,855.337730706985
osgb4000000027866314,1.38377737842816,0.0724717446624014,0.04879184660843562,652.649988200962
osgb4000000027866315,16.0158609538993,0.897883312906568,0.575000440947657,8982.1999766628
osgb4000000027866316,16.7305915431576,1.09076429253547,0.6681828721959979,9614.86179000623
osgb4000000027866317,0.788862775358635,0.12386053081638511,0.06039129578559894,323.880658886213
osgb4000000027866319,16.2026564773349,1.104024341812871,0.667717609432339,9361.27111532106
osgb4000000027866320,6.97520338326648,0.3148098830217496,0.21813328836124352,2909.13185974375
osgb4000000027866324,16.609764866856,1.06567844460715,0.658383772663284,9699.21707691109
osgb4000000027866325,18.7040446398687,0.9984472233608821,0.652296828896406,10650.6968803733
osgb4000000027866328,1.35074117343451,0.2433833430215057,0.1194531262821267,596.118782707558
osgb4000000027866330,21.2009545471297,1.049519949609442,0.691448460528901,11287.2881908636
osgb4000000027866331,19.5933799212698,1.100008238898555,0.704474480569885,10997.8912664324
osgb4000000027866333,14.6367558187431,2.1644866456985072,1.096856721779365,8125.11783831186
osgb4000000027866337,17.6325623134127,0.906808826016861,0.594668572852602,9720.71785391899
osgb4000000027866338,18.0665640719769,0.992385806104041,0.6403860296733179,10183.184841582
osgb4000000027866343,19.353940856762,0.9160958317157659,0.606155497176181,9942.6606738462
osgb4000000027866410,5.10346080962509,0.2061584269655522,0.14520801764963,1873.60930446116
osgb4000000027866411,6.57867182643568,0.28602244653199027,0.1991822850666699,2698.21467512961
osgb4000000027866443,12.1464063500622,0.666716878552539,0.43286519202869156,7005.31344350599
osgb4000000027866444,10.0742875236002,0.620823555066723,0.388249098863948,5850.00443369656
osgb4000000027866445,21.7371495422289,1.0892167742467591,0.716771486814746,11687.564034696
osgb4000000027866446,22.984057864812,1.16395462891484,0.764355906118499,12383.3681551538
osgb4000000027869073,5.25007158210717,0.3258314872603097,0.2019733445178034,2899.34190299627
osgb4000000027869074,3.31592265206667,0.1577582396294451,0.1042078401270608,1652.09369513362
osgb4000000027869077,6.81295537547973,0.6323272520633096,0.352810489408088,3886.1128487342
osgb4000000027869078,0.735354764817236,0.09102991120019388,0.04688797960970347,331.179808224296
osgb4000000027869079,6.34779740675335,0.6941373932954582,0.37347139585775446,3677.4280603048
osgb4000000027869080,1.10261612042637,0.2041850426590385,0.09908847485465941,462.930555674751
osgb4000000027869097,1.23429504291068,0.1876971106919813,0.09385357207977571,548.514157241044
osgb4000000027869098,6.79551282413452,0.9797476023794592,0.4924614775717996,2989.70975764318
osgb4000000027869099,2.47036487288379,0.3780888220169855,0.1860873797855369,974.010361627963
osgb4000000027869104,0.0280322375781223,0.004778002907751099,0.002343834331626812,12.1061762263258
osgb4000000027869106,0.432026116906343,0.056007093604420036,0.02795734123904529,173.436915054467
osgb4000000027869107,0.5623145829147,0.08514623670403838,0.04195212733798797,226.144742696594
osgb4000000027869108,0.191628199181785,0.03138280904720017,0.015713606335766662,85.5461445098659
osgb4000000027869109,0.680408252881642,0.10246608070692328,0.050580079375497626,277.043093137251
osgb4000000027869110,2.27315332458423,0.33610189106101,0.16436502803313408,926.346664843966
osgb4000000027869118,0.239398203200516,0.03920606742308074,0.01963077009879012,106.871501030837
osgb4000000027869123,0.495002381141897,0.07358399243086015,0.03724013107761279,270.334106798471
osgb4000000027869146,1.89299274429809,0.2999584090222897,0.1461754310459344,912.771816295137
osgb4000000027869147,4.02269175371709,0.3202819646195531,0.1866684860258959,2443.05801562807
osgb4000000027869148,1.27908691226695,0.2001317988317095,0.1009392180180998,541.946910386109
osgb4000000027869163,7.97013672305334,0.3841429205339959,0.2537705735187331,4159.19780591636
osgb4000000027869164,8.32453289287628,0.3940318894526496,0.2607200989083282,4276.5453524274
osgb4000000027869176,6.54858430931753,0.3070667152904743,0.20334586874953908,3341.13247694314
osgb4000000027869177,7.24365478672159,0.34286980649654797,0.2268675512193576,3721.26804126775
osgb4000000027869181,0.794625893110517,0.1470331845510975,0.07237574034257191,344.660292258311
osgb4000000027869182,5.12027667150975,0.48714132051375575,0.27053256298673156,3003.49734302432
osgb4000000027869183,2.27917033480448,0.1101839572192826,0.075342061469727,1077.6910609224
osgb4000000027869185,2.37955716975078,0.44290421158239457,0.2179669437267803,1036.18896870403
osgb4000000027869186,0.826736534131849,0.1442794034794174,0.0718610256388895,368.17030321759
osgb4000000027869187,4.78984582859887,0.224598501884283,0.1487337285719852,2443.81208236291
osgb4000000027869189,9.43098378908955,0.462877898591493,0.30526722917208704,4991.49643873934
osgb4000000027869370,3.35746774414443,0.513833062118019,0.259555173913161,1920.68024422066
osgb4000000027869374,6.65741339437272,0.2995292154388351,0.1990075871984986,3247.63026896589
osgb4000000027869375,2.10876605736238,0.1995632214994102,0.1119323913839391,1307.02064190581
osgb4000000027869376,5.2913865561233,0.41664324010492815,0.2417456267847959,3055.16675455662
osgb4000000027869377,0.745689312015687,0.09846921836034148,0.05130850688576498,446.723686297793
osgb4000000027869378,3.59631319739836,0.1723631881815288,0.1173501313802025,1474.77672320535
osgb4000000027869379,4.11898629106929,0.179082125888878,0.12471044661578409,1689.38496256354
osgb4000000027869380,1.82228764496213,0.27884483231976587,0.144791250605451,1287.17183522878
